X,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PosNum,cluster
5424,429,Lou Williams,SG,22,PHI,81,0,1919,6.3,15.8,0.398,1.2,4.1,0.286,5.1,11.7,0.438,5.7,7.2,0.79,0.7,2.4,3.1,4.5,1.6,0.3,2.8,2.4,19.5,2009,2,4
5427,432,Marvin Williams,SF,22,ATL,61,59,2093,4.9,10.7,0.458,0.9,2.7,0.355,4,8,0.493,3.8,4.7,0.806,1.9,4.7,6.6,1.4,1,0.7,1.2,2.2,14.5,2009,3,3
5428,433,Mo Williams,PG,26,CLE,81,81,2834,6.7,14.3,0.467,2.3,5.3,0.436,4.4,9,0.486,2.6,2.9,0.912,0.6,2.9,3.5,4.2,0.9,0.1,2.3,2.7,18.3,2009,1,4
5431,436,Shelden Williams,PF,25,TOT,45,0,512,4.9,11,0.446,0,0.1,0,4.9,10.9,0.452,3.2,4.4,0.73,3.4,7.3,10.8,0.8,1.5,1.3,2.4,4.5,13.1,2009,4,2
5434,437,Metta World Peace,SF,29,HOU,69,55,2452,6.1,15.2,0.401,2.2,5.6,0.399,3.9,9.6,0.402,2.9,3.8,0.748,1,4.3,5.3,3.4,1.5,0.4,2.1,2.3,17.3,2009,3,4
5435,438,Antoine Wright,SF,24,DAL,65,53,1552,4.2,10,0.415,1,3.5,0.302,3.1,6.5,0.475,1.6,2.2,0.747,0.7,2.4,3.2,1.8,1.1,0.6,1.3,4,11,2009,3,3
5436,439,Brandan Wright,PF,21,GSW,39,23,688,6.8,12.9,0.528,0,0.2,0,6.8,12.7,0.537,3.3,4.4,0.741,3.2,5,8.2,1.1,1.2,1.9,1.2,3.9,16.9,2009,4,2
5438,441,Julian Wright,SF,21,NOH,54,19,772,5.1,10.9,0.466,0.1,1,0.095,5,9.9,0.502,0.8,1.4,0.567,2.1,4.9,7.1,2,1.6,0.9,2,2.3,11.1,2009,3,3
5440,443,Nick Young,SG,23,WAS,82,5,1837,6.6,14.8,0.444,1.1,3.2,0.341,5.5,11.6,0.473,3.2,3.8,0.85,0.6,2.3,2.9,1.9,0.8,0.4,1.8,2.7,17.5,2009,2,3
5441,444,Thaddeus Young,PF,20,PHI,75,71,2580,6.6,13.4,0.495,0.8,2.3,0.341,5.8,11.1,0.526,1.9,2.6,0.735,1.9,3.3,5.3,1.2,1.4,0.3,1.6,2.3,16,2009,4,3
5443,1,Arron Afflalo,SG,24,DEN,82,75,2221,4.4,9.5,0.465,1.8,4,0.434,2.7,5.4,0.488,1.2,1.6,0.735,1,3.1,4.1,2.2,0.7,0.5,1.2,3.6,11.7,2010,2,3
5445,3,LaMarcus Aldridge,PF,24,POR,78,78,2922,7.1,14.4,0.495,0.1,0.2,0.313,7.1,14.2,0.498,2.8,3.7,0.757,2.4,5.4,7.7,2,0.8,0.6,1.3,2.8,17.2,2010,4,1
5448,6,Ray Allen,SG,34,BOS,80,80,2819,5.9,12.4,0.477,1.9,5.1,0.363,4.1,7.3,0.556,2.9,3.2,0.913,0.6,2.7,3.2,2.7,0.8,0.3,1.6,2.3,16.7,2010,2,3
5449,7,Tony Allen,SG,28,BOS,54,8,889,5.2,10.2,0.51,0,0.2,0,5.2,10,0.52,2.9,4.8,0.605,2.1,3.8,5.9,2.9,2.4,0.8,2.7,4.4,13.4,2010,2,1
5450,8,Rafer Alston,PG,33,TOT,52,38,1421,3.9,11.3,0.348,1.5,4.3,0.345,2.5,7,0.349,1.5,2.1,0.728,0.3,2.9,3.3,4.5,1.3,0.3,2.4,2.6,10.8,2010,1,4
5451,8,Rafer Alston,PG,33,NJN,27,13,766,4.5,13,0.343,1.3,4.1,0.322,3.1,8.9,0.353,2.1,2.5,0.815,0.4,3.1,3.5,4.9,1.3,0.2,2.9,2.3,12.3,2010,1,4
5452,8,Rafer Alston,PG,33,MIA,25,25,655,3.3,9.3,0.355,1.6,4.5,0.37,1.6,4.8,0.341,0.8,1.5,0.556,0.2,2.7,3,4,1.3,0.3,1.9,2.9,9.1,2010,1,3
5453,9,Lou Amundson,PF,27,PHO,79,0,1168,4.7,8.5,0.551,0,0,0,4.7,8.5,0.553,2.1,3.8,0.545,3.9,6.7,10.7,1,0.7,2.3,1.8,5.2,11.4,2010,4,2
5454,10,Chris Andersen,PF,31,DEN,76,0,1695,3,5.3,0.566,0,0.1,0,3,5.3,0.573,3.5,5,0.695,3.1,7.1,10.3,0.7,0.9,3,1.3,3.6,9.5,2010,4,2
5455,11,David Andersen,C,29,HOU,63,0,891,5.9,13.7,0.432,1.1,3.2,0.346,4.8,10.6,0.458,1.9,2.7,0.687,2.2,6.2,8.4,1.8,0.6,0.5,1.5,4.8,14.8,2010,5,2
5457,13,Ryan Anderson,PF,21,ORL,63,6,911,6.7,15.3,0.436,3.1,8.3,0.37,3.6,7,0.514,2.8,3.2,0.866,2.8,5.2,8,1.5,1,0.6,2.2,3.2,19.2,2010,4,3
5458,14,Carmelo Anthony,SF,25,DEN,69,69,2634,9.4,20.5,0.458,0.8,2.6,0.316,8.6,18,0.478,6.9,8.4,0.83,2.1,4.1,6.2,3,1.2,0.4,2.9,3.1,26.6,2010,3,1
5459,15,Joel Anthony,C,27,MIA,80,16,1322,2.1,4.3,0.478,0,0,NA,2.1,4.3,0.478,1.8,2.5,0.717,3.3,3.4,6.8,0.3,0.5,3,1.2,4.3,5.9,2010,5,2
5460,16,Gilbert Arenas,PG,28,WAS,32,32,1169,7.8,19,0.411,1.9,5.6,0.348,5.9,13.4,0.437,4.7,6.4,0.739,0.5,3.6,4.1,7.1,1.3,0.3,3.6,2.9,22.2,2010,1,4
5461,17,Trevor Ariza,SF,24,HOU,72,71,2629,5.4,13.7,0.394,1.9,5.6,0.334,3.5,8.1,0.436,2,3.1,0.649,1.1,4.5,5.5,3.8,1.7,0.5,2.2,2.2,14.7,2010,3,4
5466,19,Carlos Arroyo,PG,30,MIA,72,35,1585,4,8.5,0.475,0.2,0.6,0.28,3.9,7.9,0.489,1.7,2,0.844,0.6,2.4,3,5.1,0.8,0.1,1.2,2.3,10,2010,1,3
5468,21,Chucky Atkins,PG,35,DET,40,11,644,3.2,8.8,0.363,1.2,4.1,0.301,2,4.7,0.417,1.4,1.5,0.926,0.3,1.3,1.6,5.1,1,0,1.8,3,9,2010,1,3
5469,22,D.J. Augustin,PG,22,CHA,80,2,1472,4.1,10.6,0.386,1.7,4.4,0.393,2.4,6.3,0.381,2.5,3.2,0.779,0.3,2.1,2.4,4.7,1.1,0.1,1.8,3.1,12.4,2010,1,3
5474,27,Leandro Barbosa,PG,27,PHO,44,5,786,7.1,16.7,0.425,2,6.2,0.324,5.1,10.5,0.485,2.9,3.3,0.877,0.5,2.7,3.2,2.9,1.1,0.5,2.1,3.3,19.1,2010,1,3
5475,28,J.J. Barea,PG,25,DAL,78,18,1546,5.4,12.3,0.44,1.3,3.7,0.357,4.1,8.6,0.476,1.8,2.1,0.844,0.4,3,3.4,6,0.8,0.1,2.4,2.8,13.9,2010,1,4
5476,29,Andrea Bargnani,PF,24,TOR,80,80,2799,6.9,14.7,0.47,1.6,4.2,0.372,5.4,10.5,0.509,2.3,3,0.774,1.4,5,6.3,1.2,0.3,1.4,1.5,2.8,17.7,2010,4,3
5477,30,Matt Barnes,SF,29,ORL,81,58,2097,4.7,9.6,0.487,1.1,3.6,0.319,3.5,6,0.586,1.9,2.5,0.74,1.8,5.8,7.6,2.3,1,0.5,1.9,3.2,12.3,2010,3,3
5479,32,Brandon Bass,PF,24,ORL,50,3,648,6.6,12.9,0.511,0,0,NA,6.6,12.9,0.511,2.9,3.5,0.825,3,4.1,7.1,1.1,0.7,1.5,1.7,3.8,16.1,2010,4,2
5481,34,Shane Battier,SG,31,HOU,67,62,2168,3,7.4,0.398,1.7,4.6,0.362,1.3,2.8,0.458,1.3,1.8,0.726,1.2,4,5.2,2.7,0.9,1.3,1.1,2.3,8.9,2010,2,3
5482,35,Nicolas Batum,SF,21,POR,37,25,918,5.5,10.5,0.519,2.1,5.2,0.409,3.3,5.3,0.625,1.7,2,0.843,1.3,4.3,5.5,1.7,0.9,1,1.1,3.3,14.7,2010,3,3
5483,36,Jerryd Bayless,SG,21,POR,74,11,1304,5.5,13.3,0.414,0.8,2.5,0.315,4.7,10.8,0.437,5.5,6.7,0.831,0.5,2.8,3.3,4.7,0.7,0.1,2.6,4.2,17.4,2010,2,4
5484,37,Michael Beasley,PF,21,MIA,78,78,2328,7.2,16.1,0.45,0.4,1.6,0.275,6.8,14.5,0.469,3,3.7,0.8,1.9,5.8,7.7,1.5,1.2,0.8,2,3.4,17.9,2010,4,1
5485,38,Rodrigue Beaubois,PG,21,DAL,56,16,700,8,15.4,0.518,2.3,5.7,0.409,5.7,9.7,0.582,2.2,2.7,0.808,0.6,3.4,4,3.8,1.5,0.6,2.8,4.3,20.4,2010,1,4
5486,39,Marco Belinelli,SG,23,TOR,66,1,1121,4.9,12.2,0.406,1.9,5.1,0.38,3,7.1,0.425,3.2,3.9,0.835,0.4,2.6,3.1,2.9,1.3,0.2,1.9,2.6,15.1,2010,2,3
5487,40,Charlie Bell,SG,30,MIL,71,39,1611,3.8,9.9,0.381,1.6,4.5,0.365,2.1,5.4,0.395,1.1,1.5,0.716,0.7,2.3,2.9,2.3,0.9,0.3,1.2,3,10.3,2010,2,3
5492,43,Mike Bibby,PG,31,ATL,80,80,2195,4.4,10.6,0.416,2.1,5.3,0.389,2.3,5.2,0.444,1.1,1.3,0.861,0.3,2.7,3,5.1,1.1,0,1.5,2.6,12,2010,1,3
5493,44,Andris Biedrins,C,23,GSW,33,29,763,3.8,6.5,0.591,0,0,NA,3.8,6.5,0.591,0.2,1.2,0.16,3,9.2,12.2,2.7,0.9,2.1,1.5,5.5,7.8,2010,5,2
5494,45,Chauncey Billups,PG,33,DEN,73,73,2490,5.8,13.9,0.418,2.3,5.9,0.386,3.5,8,0.441,6.7,7.4,0.91,0.4,2.9,3.3,5.9,1.2,0.1,2.6,2.2,20.6,2010,1,4
5495,46,DeJuan Blair,PF,20,SAS,82,23,1494,6.6,11.9,0.556,0,0,0,6.6,11.9,0.558,2.1,3.9,0.547,4.8,7.9,12.7,1.6,1.2,0.9,2.7,5.4,15.4,2010,4,2
5496,47,Steve Blake,PG,29,TOT,80,38,2159,3.6,8.7,0.416,1.9,4.9,0.395,1.7,3.8,0.443,0.6,0.8,0.75,0.4,2.8,3.1,6.3,1,0.1,2.1,2.1,9.8,2010,1,3
5497,47,Steve Blake,PG,29,POR,51,28,1397,3.7,9.1,0.403,2,5.3,0.377,1.7,3.8,0.439,0.6,0.8,0.75,0.4,2.7,3,5.2,1,0.1,1.7,2.2,10,2010,1,3
5498,47,Steve Blake,PG,29,LAC,29,10,762,3.5,7.9,0.443,1.8,4.1,0.437,1.7,3.8,0.45,0.6,0.8,0.75,0.3,3,3.3,8.4,1,0.2,3,1.8,9.4,2010,1,4
5499,48,Andray Blatche,PF,23,WAS,81,36,2256,7.6,15.9,0.478,0.2,0.7,0.295,7.4,15.2,0.487,2.8,3.7,0.744,2.5,5.6,8.1,2.7,1.4,1.1,2.9,3.5,18.2,2010,4,1
5500,49,Keith Bogans,SF,29,SAS,79,50,1559,2.8,6.9,0.403,1.6,4.5,0.357,1.2,2.4,0.49,0.9,1.2,0.74,0.6,3.5,4.1,2.2,1,0.3,1.2,3.6,8,2010,3,3
5501,50,Andrew Bogut,C,25,MIL,69,69,2229,7.6,14.7,0.52,0,0,0,7.6,14.7,0.521,2.4,3.8,0.629,3.4,8,11.3,2.1,0.6,2.8,2.1,3.6,17.7,2010,5,2
5502,51,Matt Bonner,PF,29,SAS,65,8,1161,5.1,11.5,0.446,2.8,7.2,0.39,2.4,4.4,0.539,1.1,1.5,0.729,1.6,5,6.6,2.1,0.9,0.7,1.2,3.4,14.2,2010,4,3
5503,52,Josh Boone,PF,25,NJN,63,28,1045,4,7.7,0.525,0,0,NA,4,7.7,0.525,0.7,2,0.328,4.3,6.6,10.9,1,1,1.7,1.3,3.8,8.7,2010,4,2
5504,53,Carlos Boozer,PF,28,UTA,78,78,2673,8.3,14.8,0.562,0,0,NA,8.3,14.8,0.562,3.8,5.2,0.742,2.4,9.3,11.8,3.3,1.1,0.5,2.9,3.6,20.5,2010,4,1
5505,54,Chris Bosh,C,25,TOR,70,70,2526,8.6,16.5,0.518,0.1,0.3,0.364,8.4,16.2,0.521,6.7,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1,2.4,2.4,23.9,2010,5,1
5507,56,Earl Boykins,PG,33,WAS,67,1,1117,5.5,13,0.427,0.6,1.9,0.317,4.9,11.1,0.446,2.5,2.9,0.865,0.5,1.9,2.4,5.5,0.8,0.1,2.2,1.5,14.2,2010,1,4
5508,57,Elton Brand,PF,30,PHI,76,57,2297,6.5,13.4,0.48,0,0,0,6.5,13.4,0.481,2.7,3.7,0.738,2.8,4.4,7.2,1.7,1.3,1.3,2.1,3.6,15.6,2010,4,1
5509,58,Corey Brewer,SG,23,MIN,82,82,2482,5.9,13.8,0.431,1.2,3.4,0.346,4.7,10.3,0.459,2.4,3.7,0.648,1,3,4,2.8,1.7,0.4,2.4,3.2,15.5,2010,2,4
5510,59,Ronnie Brewer,SG,24,TOT,58,53,1742,4.3,8.9,0.487,0.2,0.6,0.258,4.2,8.2,0.505,1.8,2.7,0.639,0.9,2.9,3.9,3.2,1.9,0.3,1.1,1.7,10.6,2010,2,3
5511,59,Ronnie Brewer,SG,24,UTA,53,53,1662,4.5,9,0.495,0.2,0.7,0.258,4.3,8.3,0.514,1.8,2.8,0.633,1,2.9,3.9,3.3,1.8,0.3,1.1,1.7,10.9,2010,2,3
5516,61,Jon Brockman,PF,22,SAC,52,4,654,3,5.7,0.534,0,0,NA,3,5.7,0.534,2,3.4,0.597,5.8,5.9,11.7,1.2,0.8,0.3,1.3,6.3,8.1,2010,4,2
5517,62,Aaron Brooks,PG,25,HOU,82,82,2919,7.1,16.4,0.432,2.6,6.5,0.398,4.5,9.9,0.454,3,3.7,0.822,0.7,2,2.7,5.4,0.9,0.2,2.9,2.5,19.8,2010,1,4
5518,63,Bobby Brown,PG,25,TOT,45,0,519,6.1,16.4,0.371,1.8,6.8,0.265,4.3,9.6,0.446,0.9,1,0.867,0.6,2,2.6,6.1,1,0.1,3.2,2.9,14.9,2010,1,4
5521,64,Derrick Brown,SF,22,CHA,57,0,535,4.6,9.9,0.463,0.1,0.5,0.286,4.4,9.4,0.471,3.2,4.8,0.667,2.1,3.2,5.2,1.3,1.4,0.7,1.3,3.6,12.5,2010,3,3
5522,65,Devin Brown,SG,31,TOT,50,37,1060,4.6,12.3,0.377,2,5.6,0.354,2.6,6.7,0.396,2.3,2.9,0.802,1,3.2,4.2,2.2,1.1,0.2,2.1,2.4,13.6,2010,2,3
5523,65,Devin Brown,SG,31,NOH,39,37,967,4.8,12.1,0.394,2,5.5,0.367,2.8,6.6,0.416,2.6,3.2,0.802,1,3.1,4.1,2.2,1.1,0.2,2.1,2.3,14.1,2010,2,3
5525,66,Kwame Brown,C,27,DET,48,1,660,3.4,6.8,0.5,0,0.1,0,3.4,6.7,0.504,1.8,5.3,0.337,2.9,6.8,9.7,1.2,0.8,0.7,2.3,5.1,8.6,2010,5,2
5526,67,Shannon Brown,SG,24,LAL,82,7,1700,5.4,12.5,0.427,1.3,4,0.328,4,8.5,0.474,2.1,2.6,0.818,0.6,3.2,3.9,2.3,1.2,0.7,1.4,2.7,14.1,2010,2,3
5527,68,Kobe Bryant,SG,31,LAL,73,73,2835,9.1,19.9,0.456,1.3,3.8,0.329,7.8,16.1,0.487,5.6,6.9,0.811,1,4,5,4.6,1.4,0.3,3,2.4,25,2010,2,4
5528,69,Chase Budinger,SF,21,HOU,74,4,1488,6,13.7,0.441,2.2,6,0.369,3.8,7.6,0.497,1.6,2.1,0.77,0.9,4.4,5.3,2.1,0.8,0.3,1.2,2.1,15.9,2010,3,3
5529,70,Caron Butler,SF-SG,29,TOT,74,74,2783,5.8,13.6,0.428,0.5,1.9,0.29,5.3,11.7,0.45,3.4,4.1,0.838,1.3,4.6,6,2,1.5,0.3,2.1,2.5,15.6,2010,2.75,4
5530,70,Caron Butler,SF,29,WAS,47,47,1853,5.7,13.5,0.422,0.5,1.8,0.263,5.2,11.6,0.447,3.6,4.1,0.877,1.3,4.8,6.1,2.1,1.3,0.3,2.2,2.4,15.5,2010,3,1
5531,70,Caron Butler,SG,29,DAL,27,27,930,6.1,13.8,0.44,0.7,1.9,0.34,5.4,11.9,0.456,3.1,4,0.76,1.4,4.2,5.6,1.9,1.9,0.3,1.8,2.6,15.9,2010,2,4
5532,71,Rasual Butler,SF,30,LAC,82,64,2702,4.7,11.6,0.409,1.9,5.8,0.336,2.8,5.8,0.482,1.6,1.9,0.841,0.5,2.7,3.2,1.5,0.5,0.9,1.1,1.6,13,2010,3,3
5533,72,Andrew Bynum,C,22,LAL,65,65,1977,7.1,12.5,0.57,0,0,0,7.1,12.5,0.571,3.5,4.8,0.739,3.2,6.6,9.9,1.2,0.6,1.7,2.1,3.5,17.8,2010,5,1
5534,73,Will Bynum,PG,27,DET,63,20,1667,5.1,11.5,0.444,0.3,1.2,0.218,4.9,10.3,0.47,3.1,3.8,0.798,0.5,2.5,3.1,6.1,1.2,0.2,2.5,3.1,13.6,2010,1,4
5535,74,Jose Calderon,PG,28,TOR,68,39,1817,5.4,11.3,0.482,1.3,3.4,0.398,4.1,7.9,0.519,1.6,2.1,0.798,0.5,2.4,2.8,8,0.9,0.1,2,2.7,13.8,2010,1,4
5536,75,Marcus Camby,PF-C,35,TOT,74,74,2314,3.7,7.8,0.475,0,0.1,0.286,3.7,7.7,0.478,1.2,1.9,0.639,3.9,9.7,13.6,2.9,1.5,2.3,1.4,2.5,8.6,2010,4.25,2
5537,75,Marcus Camby,PF,35,LAC,51,51,1596,3.7,8,0.466,0,0.1,0.333,3.7,7.9,0.469,1.4,2.1,0.659,3.7,10.2,13.9,3.4,1.6,2.2,1.4,2.4,8.9,2010,4,2
5538,75,Marcus Camby,C,35,POR,23,23,718,3.6,7.3,0.497,0,0.1,0,3.6,7.2,0.5,0.9,1.6,0.581,4.2,8.6,12.8,1.8,1.3,2.4,1.4,2.8,8.1,2010,5,2
5540,77,Rodney Carney,SG,25,PHI,68,0,857,4.7,11.8,0.401,1.7,5.7,0.304,3,6.2,0.49,2.2,2.6,0.825,1.1,4.7,5.8,1.6,1.1,0.8,0.9,3.3,13.4,2010,2,3
5541,78,DeMarre Carroll,SF,23,MEM,71,1,795,4,10.1,0.396,0,0.3,0,4,9.8,0.407,1.5,2.4,0.623,2.4,4.4,6.8,1.5,1.3,0.4,1.1,4.8,9.5,2010,3,2
5543,80,Anthony Carter,PG,34,DEN,54,7,859,3.2,7.6,0.42,0.7,2.6,0.27,2.5,4.9,0.5,0.5,0.5,0.846,0.7,3,3.7,6.7,1.6,0.5,2.4,3,7.5,2010,1,4
5544,81,Vince Carter,SG,33,ORL,75,74,2310,6.8,15.8,0.428,1.9,5,0.367,4.9,10.8,0.456,4,4.8,0.84,0.5,4.1,4.6,3.7,0.8,0.3,1.7,2.9,19.4,2010,2,3
5545,82,Omri Casspi,SF,21,SAC,77,31,1931,5.6,12.5,0.446,1.4,3.8,0.369,4.2,8.7,0.48,2.2,3.2,0.672,1.4,5.1,6.5,1.8,1,0.3,1.8,2.3,14.8,2010,3,3
5546,83,Mario Chalmers,PG,23,MIA,73,22,1807,3.6,9,0.401,1.5,4.7,0.318,2.1,4.3,0.491,1.6,2.2,0.745,0.5,2.2,2.7,4.9,1.8,0.2,2.5,3.5,10.4,2010,1,4
5547,84,Tyson Chandler,C,27,CHA,51,27,1163,3.4,5.9,0.574,0,0,NA,3.4,5.9,0.574,3.6,4.9,0.732,3.5,6.4,9.9,0.5,0.5,1.7,2.8,4.3,10.3,2010,5,2
5548,85,Wilson Chandler,SG,22,NYK,65,64,2320,6.4,13.3,0.479,0.6,2.3,0.267,5.8,11,0.524,2,2.5,0.806,1.4,4,5.4,2.1,0.7,0.8,1.7,2.9,15.4,2010,2,3
5553,90,Darren Collison,PG,22,NOH,76,37,2109,6.4,13.5,0.477,0.8,2,0.4,5.6,11.5,0.49,2.5,3,0.851,0.7,2.6,3.3,7.4,1.3,0.1,3.4,1.6,16.1,2010,1,4
5554,91,Nick Collison,C,29,OKC,75,5,1557,4.2,7.1,0.589,0,0.1,0.25,4.2,7.1,0.593,1.7,2.5,0.692,3.5,5.4,8.9,0.9,0.9,1.1,1.5,5.3,10.2,2010,5,2
5555,92,Mike Conley,PG,22,MEM,80,80,2569,5.2,11.6,0.445,1.1,3,0.387,4,8.7,0.464,1.9,2.6,0.743,0.4,2.3,2.7,6,1.5,0.2,2.4,2.5,13.4,2010,1,4
5558,95,Daequan Cook,SG,22,MIA,45,3,691,4.2,13.2,0.32,2.1,6.6,0.317,2.1,6.6,0.323,1.1,1.3,0.84,0.5,3.8,4.3,2.2,0.7,0.5,1.3,2.6,11.6,2010,2,3
5559,96,Jamal Crawford,SG,29,ATL,79,0,2460,7.3,16.2,0.449,2.4,6.2,0.382,4.9,9.9,0.491,4,4.6,0.857,0.5,2.4,2.9,3.5,0.9,0.2,2,1.9,20.9,2010,2,3
5560,97,Dante Cunningham,PF,22,POR,63,2,707,5.4,10.9,0.495,0,0.1,0,5.4,10.8,0.5,1.6,2.4,0.646,2.7,5.4,8.1,0.7,1.2,1.1,0.8,4.9,12.4,2010,4,2
5563,100,Stephen Curry,PG,21,GSW,80,77,2896,6.6,14.2,0.462,2.1,4.7,0.437,4.5,9.5,0.474,2.2,2.5,0.885,0.6,3.8,4.4,5.9,1.9,0.2,3,3.1,17.4,2010,1,4
5564,101,Samuel Dalembert,C,28,PHI,82,80,2124,4.8,8.9,0.545,0,0,NA,4.8,8.9,0.545,1.6,2.3,0.729,4.1,9.2,13.3,1.1,0.7,2.6,2.1,4.3,11.3,2010,5,2
5565,102,Erick Dampier,C,34,DAL,55,47,1280,3.7,6,0.624,0,0.1,0.333,3.7,5.9,0.629,1.7,2.8,0.604,3.6,7.7,11.3,0.9,0.4,2.2,1.7,4.3,9.2,2010,5,2
5566,103,Marquis Daniels,SF,29,BOS,51,4,937,4.8,9.6,0.498,0.2,1.1,0.214,4.5,8.5,0.534,1.3,2.2,0.607,1,2.6,3.6,2.5,1,0.2,1.6,3.5,11.1,2010,3,3
5567,104,Baron Davis,PG,30,LAC,75,73,2523,5.9,14.5,0.406,1.2,4.2,0.277,4.7,10.3,0.459,3.4,4.2,0.821,0.7,3.1,3.8,8.5,1.8,0.6,3,3,16.3,2010,1,4
5568,105,Glen Davis,PF,24,BOS,54,1,933,4.7,10.8,0.437,0,0.2,0,4.7,10.6,0.444,3.7,5.3,0.696,3.9,4,7.9,1.4,0.8,0.5,2,5.1,13.1,2010,4,2
5571,108,Austin Daye,SF,21,DET,69,4,915,5.4,11.6,0.464,1.1,3.7,0.305,4.2,7.9,0.54,1.8,2.2,0.821,1.3,5.5,6.8,1.3,1,1,1.9,4.5,13.7,2010,3,2
5572,109,Carlos Delfino,SF,27,MIL,75,66,2279,4.7,11.6,0.408,2.1,5.8,0.367,2.6,5.8,0.45,1.5,1.9,0.782,0.8,5.4,6.2,3.2,1.3,0.3,1.9,2.2,13,2010,3,3
5573,110,Luol Deng,SF,24,CHI,70,69,2651,6.4,13.8,0.466,0.4,1.1,0.386,6,12.6,0.474,3.4,4.5,0.764,1.8,5.2,7,1.9,0.9,0.8,1.8,1.8,16.7,2010,3,1
5574,111,DeMar DeRozan,SG,20,TOR,77,65,1664,5.5,11.1,0.498,0.1,0.3,0.25,5.4,10.7,0.506,3.2,4.2,0.763,1.4,3.4,4.8,1.1,0.9,0.4,1.3,3.8,14.3,2010,2,1
5575,112,Boris Diaw,PF,27,CHA,82,82,2906,4.6,9.6,0.483,0.8,2.6,0.32,3.8,7,0.541,1.4,1.8,0.769,1.6,3.6,5.3,4,0.7,0.7,2.2,2.7,11.5,2010,4,3
5581,116,Keyon Dooling,PG,29,NJN,53,8,971,4.8,12,0.398,2.2,5.8,0.376,2.6,6.2,0.419,1.7,2.3,0.77,0.3,1.7,2,5,1.3,0,2.2,3,13.5,2010,1,4
5585,118,Toney Douglas,PG,23,NYK,56,12,1087,5.9,12.9,0.458,2.3,5.8,0.389,3.7,7.2,0.514,1.8,2.3,0.809,1.3,2.3,3.6,3.7,1.4,0.1,1.8,3.8,15.9,2010,1,3
5586,119,Chris Douglas-Roberts,SF,23,NJN,67,38,1730,5.3,11.9,0.445,0.3,1.1,0.259,5,10.8,0.464,2.8,3.3,0.847,0.9,3.2,4.1,1.9,1.1,0.4,2,2.1,13.7,2010,3,3
5587,120,Goran Dragic,PG,23,PHO,80,2,1442,5.5,12.3,0.452,1.8,4.7,0.394,3.7,7.6,0.488,2.9,4,0.736,0.9,3.3,4.3,6,1.2,0.2,3.1,3.3,15.9,2010,1,4
5588,121,Jared Dudley,SF,24,PHO,82,1,1991,4.1,8.9,0.459,2.2,4.7,0.458,1.9,4.1,0.461,1.9,2.5,0.754,1.8,3.3,5.1,2.1,1.5,0.3,1.2,2.9,12.2,2010,3,3
5589,122,Chris Duhon,PG,27,NYK,67,59,2072,2.9,7.8,0.373,1.6,4.5,0.349,1.4,3.4,0.404,1.2,1.7,0.716,0.5,2.6,3.1,6.6,1,0.1,1.9,1.4,8.6,2010,1,3
5590,123,Tim Duncan,C,33,SAS,78,77,2438,8.3,16,0.518,0,0.2,0.182,8.3,15.8,0.522,4,5.5,0.725,3.3,8.4,11.6,3.6,0.7,1.7,2.1,2.2,20.6,2010,5,1
5591,124,Mike Dunleavy,SF,29,IND,67,15,1486,5.5,13.5,0.41,1.8,5.7,0.318,3.7,7.8,0.478,3.2,3.8,0.842,0.6,5.1,5.7,2.5,0.9,0.4,1.7,2.5,16.1,2010,3,3
5592,125,Kevin Durant,SF,21,OKC,82,82,3239,8.8,18.5,0.476,1.4,3.9,0.365,7.4,14.6,0.506,8.4,9.3,0.9,1.2,5.8,6.9,2.6,1.2,0.9,3,1.9,27.5,2010,3,1
5593,126,Wayne Ellington,SG,22,MIN,76,1,1384,4.9,11.7,0.424,1.7,4.2,0.395,3.3,7.4,0.441,1.6,1.8,0.871,0.9,3.3,4.1,1.9,0.5,0.1,1.9,1.9,13.1,2010,2,3
5594,127,Monta Ellis,SG,24,GSW,64,64,2647,8.6,19.1,0.449,1,3.1,0.338,7.5,16,0.47,4,5.3,0.753,0.6,2.9,3.5,4.6,1.9,0.3,3.3,2.6,22.2,2010,2,4
5598,129,Maurice Evans,SF,31,ATL,79,5,1317,4.8,10.7,0.445,1.6,4.6,0.337,3.2,6.1,0.527,1.3,1.7,0.754,1.6,2.6,4.2,1.3,0.9,0.5,0.5,3.4,12.4,2010,3,3
5600,131,Tyreke Evans,SG,20,SAC,72,72,2677,7.2,15.7,0.458,0.5,1.9,0.255,6.7,13.8,0.485,4.7,6.3,0.748,0.9,4.2,5.1,5.6,1.5,0.3,2.9,2.7,19.5,2010,2,4
5601,132,Jordan Farmar,PG,23,LAL,82,0,1474,5.5,12.6,0.435,2.1,5.6,0.376,3.4,7,0.483,1.4,2.1,0.671,0.3,2.9,3.2,3.1,1.3,0.3,1.8,2.7,14.4,2010,1,3
5602,133,Raymond Felton,PG,25,CHA,80,80,2643,5.3,11.5,0.459,0.8,2.1,0.385,4.5,9.4,0.475,1.8,2.4,0.763,0.7,3.2,3.9,6.1,1.7,0.3,2.3,2.3,13.2,2010,1,4
